Name	Score	0.95 MoE	p-value	FDR
N4BP2L1_AMP	0.298019772898474		0.0012683266631179806	0.2564102564102564
TNFRSF19_AMP	0.298019772898474		0.0012683266631179806	0.2564102564102564
LINC00327_AMP	0.298019772898474		0.0012683266631179806	0.2564102564102564
EXOC6B_MUT	0.2980197728948287		0.0012683266631179806	0.2564102564102564
DNAJC15_AMP	0.2980197728841646		0.0012683266631179806	0.2564102564102564
PAN2_MUT	0.29801977286153675		0.0012683266631179806	0.2564102564102564
PC_MUT	0.2980197728614417		0.0012683266631179806	0.2564102564102564
TCERG1_MUT	0.29801977286071213		0.0012683266631179806	0.2564102564102564
TMCO7_MUT	0.2980197728590238		0.0012683266631179806	0.2564102564102564
INPP5J_MUT	0.29801977285053244		0.0012683266631179806	0.2564102564102564
GATA2_MUT	0.2980197728488279		0.0012683266631179806	0.2564102564102564
RAD50_MUT	0.29801977284784353		0.0012683266631179806	0.2564102564102564
ZMYND8_MUT	0.2980197728385797		0.0012683266631179806	0.2564102564102564
MYO1D_MUT	0.2980197728253019		0.0012683266631179806	0.2564102564102564
TPT1-AS1_AMP	0.29680651123460744		0.0012683266631179806	0.2564102564102564
KIAA1704_AMP	0.29680651123460744		0.0012683266631179806	0.2564102564102564
COG3_AMP	0.29680651123460744		0.0012683266631179806	0.2564102564102564
SNORA31_AMP	0.29680651123460744		0.0012683266631179806	0.2564102564102564
GTF2F2_AMP	0.29680651123460744		0.0012683266631179806	0.2564102564102564
KCTD4_AMP	0.29680651123460744		0.0012683266631179806	0.2564102564102564
SLC25A30_AMP	0.29680651123460744		0.0012683266631179806	0.2564102564102564
TPT1_AMP	0.29680651123460744		0.0012683266631179806	0.2564102564102564
NUFIP1_AMP	0.29680651123460744		0.0012683266631179806	0.2564102564102564
LINC00330_AMP	0.29680651123460744		0.0012683266631179806	0.2564102564102564
TSSK1B_MUT	0.29680651122749174		0.0012814699446010685	0.2564102564102564
ZNF544_MUT	0.29680651122444246		0.0012946132260841564	0.2564102564102564
ZBTB7B_MUT	0.29680651122068935		0.0012946132260841564	0.2564102564102564
GIGYF1_MUT	0.2968065112154		0.0012946132260841564	0.2564102564102564
AGGF1_MUT	0.29680651121188073		0.0012946132260841564	0.2564102564102564
XAB2_MUT	0.2968065112108717		0.0012946132260841564	0.2564102564102564
ADAMTS18_MUT	0.2968065112095395		0.0012946132260841564	0.2564102564102564
DIAPH1_MUT	0.2968065112086773		0.0012946132260841564	0.2564102564102564
FAM151A_MUT	0.2968065112073139		0.0012946132260841564	0.2564102564102564
ZDHHC20_MUT	0.29680651120692914		0.0012946132260841564	0.2564102564102564
PDE8A_MUT	0.29680651120505513		0.0013011848668257003	0.2564102564102564
BCL11B_MUT	0.2968065112031768		0.0013011848668257003	0.2564102564102564
TBC1D14_MUT	0.29680651120035434		0.0013011848668257003	0.2564102564102564
SEMA4C_MUT	0.296806511198326		0.0013011848668257003	0.2564102564102564
GORASP1_MUT	0.2968065111975235		0.0013011848668257003	0.2564102564102564
RBM26_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
PRR20A_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
LMO7_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
SLAIN1_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
FBXL3_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
CLN5_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
RNF219_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
RNU6-71_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
KCTD12_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
MYCBP2_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
LRCH1_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
NDFIP2-AS1_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
PRR20C_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
LINC00558_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
PRR20E_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
MIR5007_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
LOC729420_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
LINC00331_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
PRR20B_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
SCEL_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
EDNRB_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
PRR20D_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
MIR3665_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
IRG1_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
RBM26-AS1_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
RNU6-64_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
COMMD6_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
LINC00439_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
LINC00446_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
POU4F1_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
BTF3P11_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
NDFIP2_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
UCHL3_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
MYCBP2-AS1_AMP	0.2968065111972149		0.0013011848668257003	0.2564102564102564
TOP1_MUT	0.29680651119710305		0.0013011848668257003	0.2564102564102564
PIK3C2G_MUT	0.29680651119608714		0.0013011848668257003	0.2564102564102564
MSN_MUT	0.29680651119463825		0.0013011848668257003	0.2564102564102564
MUC2_MUT	0.29680651119393986		0.0013011848668257003	0.2564102564102564
ZNF765_MUT	0.296806511193932		0.0013011848668257003	0.2564102564102564
GSX1_AMP	0.29680651119378254		0.0013011848668257003	0.2564102564102564
MTIF3_AMP	0.29680651119378254		0.0013011848668257003	0.2564102564102564
PAN3_AMP	0.29680651119378254		0.0013011848668257003	0.2564102564102564
POLR1D_AMP	0.29680651119378254		0.0013011848668257003	0.2564102564102564
FLT1_AMP	0.29680651119378254		0.0013011848668257003	0.2564102564102564
CDX2_AMP	0.29680651119378254		0.0013011848668257003	0.2564102564102564
SLC46A3_AMP	0.29680651119378254		0.0013011848668257003	0.2564102564102564
LNX2_AMP	0.29680651119378254		0.0013011848668257003	0.2564102564102564
PDX1_AMP	0.29680651119378254		0.0013011848668257003	0.2564102564102564
GTF3A_AMP	0.29680651119378254		0.0013011848668257003	0.2564102564102564
PRHOXNB_AMP	0.29680651119378254		0.0013011848668257003	0.2564102564102564
POMP_AMP	0.29680651119378254		0.0013011848668257003	0.2564102564102564
FLT3_AMP	0.29680651119378254		0.0013011848668257003	0.2564102564102564
PAN3-AS1_AMP	0.29680651119378254		0.0013011848668257003	0.2564102564102564
LPHN1_MUT	0.2968065111902268		0.0013143281483087882	0.2564102564102564
PKNOX1_MUT	0.29680651119018603		0.0013143281483087882	0.2564102564102564
LENG1_MUT	0.2968065111894624		0.0013143281483087882	0.2564102564102564
DOCK2_DEL	0.2968065111881921		0.0013143281483087882	0.2564102564102564
TFDP1_MUT	0.29680651118770845		0.0013143281483087882	0.2564102564102564
GPBP1_MUT	0.29680651118759177		0.0013143281483087882	0.2564102564102564
LPAR6_AMP	0.2968065111863753		0.0013143281483087882	0.2564102564102564
CYSLTR2_AMP	0.2968065111863753		0.0013143281483087882	0.2564102564102564
RCBTB2_AMP	0.2968065111863753		0.0013143281483087882	0.2564102564102564
LINC00462_AMP	0.2968065111863753		0.0013143281483087882	0.2564102564102564
